0,1,0,1,-43
1,514,0,0,-47
0,0,0,3,-50
0,0,0,2,-55
3,0,256,0,-59
0,0,0,2,-62
0,0,0,0,-66
0,0,0,2,-70
0,1,0,0,-74
2,257,1024,0,-78
0,0,0,1,-81
0,0,0,0,-85
0,0,0,0,-89
0,1,0,0,-93
0,1,0,0,-96
0,2,256,0,-100
0,2,0,1,-104
1,0,256,1,-108
0,0,0,1,-112
0,1,0,0,-116
1,0,0,0,-119
0,0,0,2,-123
2,263,2304,0,-127
0,0,0,2,-131
0,0,0,3,-135
10,0,2048,6,-139
0,0,0,0,-143
0,0,0,0,-147
0,0,0,0,-151
0,0,0,2,-155
2,258,256,0,-159
0,4,256,0,-163
0,0,0,0,-167
2,258,1536,0,-171
0,0,0,1,-174
0,0,0,0,-179
7,517,3328,0,-182
0,5,1280,0,-187
0,779,3072,0,-191
0,5,1280,10,-195
8,0,0,6,-199
0,0,0,0,-203
0,264,768,0,-206
10,0,0,6,-210
6,0,0,2,-214
0,0,0,0,-218
0,257,0,0,-221
0,520,1280,0,-225
0,0,0,3,-230
1,3,768,0,-234
0,2,1536,4,-238
4,3,1536,0,-241
2,0,0,0,-245
0,2,0,0,-249
2,0,256,0,-253
0,1,256,0,-257
0,5,768,5,-261
5,775,4096,5,-265
4,0,0,7,-269
2,0,0,1,-273
3,0,0,0,-276
0,0,0,0,-280
0,261,256,0,-284
0,0,0,0,-288
3,0,0,0,-292
3,518,2560,0,-296
0,0,0,8,-300
0,0,0,0,-303
0,0,512,0,-307
0,3,0,0,-311
0,522,1792,0,-315
0,261,1792,1,-319
4,0,0,11,-323
11,0,1792,10,-326
4,0,0,5,-330
1,0,0,0,-334
1,256,768,2,-338
0,0,0,1,-342
0,256,512,0,-346
0,0,0,0,-349
0,0,0,0,-353
0,0,0,0,-357
0,0,0,0,-361
5,776,3072,4,-365
4,0,0,2,-369
0,515,0,0,-373
512,1810,0,0,-375
7,0,0,2322,-381
2,0,0,0,-385
0,516,1536,0,-388
0,522,1792,0,-392
0,778,256,0,-396
1,0,0,2317,-400
10,0,0,6,-404
6,0,512,0,-407
1,0,0,7,-411
7,256,0,1,-415
1,0,0,0,-419
0,0,0,0,-423
0,0,0,0,-427
0,0,0,0,-431
0,0,0,0,-434
0,521,0,0,-437
0,0,0,1,-442
2321,0,1840,2,-446
0,256,512,0,-450
0,8,0,0,-454
16,0,1072,8,-458
8,0,256,0,-460
0,0,0,0,-466
0,261,1024,0,-469
0,2,256,3,-473
4,257,768,3,-478
2316,0,48,10,-482
2,0,0,4,-485
0,0,0,0,-489
0,512,768,0,-493
0,256,0,0,-497
0,259,256,0,-502
0,5,0,0,-505
1,0,0,6,-509
10,0,0,3,-513
3,0,0,2,-516
2,517,2560,0,-521
0,2,0,512,-524
0,522,1536,0,-528
1,263,2816,2,-532
13,0,48,2316,-536
2316,0,0,5,-540
5,0,0,1,-543
0,0,0,0,-547
3,256,1024,0,-551
0,776,1536,0,-555
0,2,0,4,-559
4,0,0,2316,-563
2,0,0,5,-566
0,0,0,0,-570
0,513,768,0,-574
0,0,0,0,-578
0,262,768,0,-582
0,8,256,0,-586
1,2,768,3,-589
12,2,1841,10,-593
2,0,0,3,-597
3,259,1792,0,-601
0,0,0,2,-605
0,1,0,0,-609
8,513,2816,0,-612
0,262,768,0,-616
0,263,0,0,-620
8,0,0,9,-623
2,0,0,0,-627
0,256,0,0,-631
0,0,0,0,-635
0,1035,512,0,-639
2,1,256,11,-643
1,0,0,0,-643
0,515,768,0,-651
2,3,1280,0,-654
0,263,0,0,-658
512,1297,4103,512,-662
0,0,0,0,-665
5,3,768,0,-669
0,0,0,4,-674
0,0,0,0,-676
0,0,768,2,-682
0,0,0,0,-685
0,0,0,0,-689
8,0,768,6,-693
6,0,0,5,-697
5,0,0,0,-700
0,514,256,0,-704
0,0,0,8,-708
2,0,0,0,-712
0,261,0,0,-716
512,774,256,3,-720
3,4,256,7,-724
6,0,0,6,-728
2,260,1792,0,-732
0,3,0,4,-735
4,0,0,0,-739
0,258,768,0,-743
0,262,1792,5,-747
0,6,1280,0,-751
0,0,0,8,-755
4,0,0,3,-759
0,0,0,0,-763
0,256,0,0,-767
0,1026,0,0,-771
0,517,1280,0,-774
0,0,0,3,-778
10,0,1280,1,-782
0,0,0,1,-786
1,256,0,0,-789
0,1032,1280,512,-793
0,2,0,0,-797
0,6,1280,0,-801
9,5,2304,5,-805
5,0,0,3,-809
3,0,256,1,-813
1,0,512,0,-816
0,257,0,0,-820
1,518,2048,2,-824
0,0,0,8,-828
2,0,0,2,-832
2,0,0,3,-836
0,0,0,2,-840
5,256,512,0,-844
0,0,0,0,-848
0,770,0,0,-850
0,6,0,0,-856
0,3,1280,7,-859
7,6,3328,5,-863
